Feature,Importance
num__Credit_History,0.4628396473808064
num__ApplicantIncome,0.1068525732951625
num__LoanAmount,0.09964906412858913
num__CoapplicantIncome,0.0798276942186542
num__Loan_Amount_Term,0.04722323965032469
cat__Property_Area_Semiurban,0.035206538647052914
cat__Property_Area_Rural,0.021906861087828723
cat__Education_Graduate,0.01486101641739301
cat__Education_Not Graduate,0.014418137319557529
cat__Married_No,0.014088203849110687
cat__Dependents_1,0.012345116747168565
cat__Dependents_2,0.01230821671035098
cat__Property_Area_Urban,0.01174405462816385
cat__Dependents_0,0.011341317733084274
cat__Married_Yes,0.010772088666586927
cat__Self_Employed_No,0.009364655516109571
cat__Self_Employed_Yes,0.009335300248765816
cat__Gender_Female,0.009317646665557677
cat__Dependents_3+,0.009032886396608627
cat__Gender_Male,0.007565740693123915
